District ,Households,Total_pop,M_Pop,F_pop,Area,House_size,sex_ratio,Pop_den
Taplejung,26509,127461,60552,66909,3646,4.81,90.50,35
Panchthar,41196,191817,90186,101631,1241,4.66,88.70,155
Ilam,64502,290254,141126,149128,1703,4.50,94.60,170
Jhapa,184552,812650,385096,427554,1606,4.40,90.10,506
Morang,213997,965370,466712,498658,1855,4.51,93.60,520
Sunsari,162407,763487,371229,392258,1257,4.70,94.60,607
Dhankuta,37637,163412,76515,86897,891,4.34,88.10,183
Terhathum,22094,101577,47151,54426,679,4.60,86.60,150
Sankhuwasabha,34624,158742,75225,83517,3480,4.58,90.10,46
Bhojpur,39419,182459,86053,96406,1507,4.63,89.30,121
Solukhumbu,23785,105886,51200,54686,3312,4.45,93.60,32
Okhaldhunga,32502,147984,68687,79297,1074,4.55,86.60,138
Khotang,42664,206312,97092,109220,1591,4.84,88.90,130
Udayapur,66557,317532,149712,167820,2063,4.77,89.20,154
Saptari,121098,639284,313846,325438,1363,5.28,96.40,469
Siraha,117962,637328,310101,327227,1188,5.40,94.80,536
Dhanusa,138249,754777,378538,376239,1180,5.46,100.60,640
Mahottari,111316,627580,311016,316564,1002,5.64,98.20,626
Sarlahi,132844,769729,389756,379973,1259,5.79,102.60,611
Sindhuli,57581,296192,142123,154069,2491,5.14,92.20,119
Ramechhap,43910,202646,93386,109260,1546,4.62,85.50,131
Dolakha,45688,186557,87003,99554,2191,4.08,87.40,85
Sindhupalchok,66688,287798,138351,149447,2542,4.32,92.60,113
Kavrepalanchok,80720,381937,182936,199001,1396,4.73,91.90,274
Lalitpur,109797,468132,238082,230050,385,4.26,103.50,1216
Bhaktapur,68636,304651,154884,149767,119,4.44,103.40,2560
Kathmandu,436344,1744240,913001,831239,395,4.00,109.80,4416
Nuwakot,59215,277471,132787,144684,1121,4.69,91.80,248
Rasuwa,9778,43300,21475,21825,1544,4.43,98.40,28
Dhading,73851,336067,157834,178233,1926,4.55,88.60,174
Makwanpur,86127,420477,206684,213793,2426,4.88,96.70,173
Rautahat,106668,686722,351079,335643,1126,6.44,104.60,610
Bara,108635,687708,351244,336464,1190,6.33,104.40,578
Parsa,95536,601017,312358,288659,1353,6.29,108.20,444
Chitawan,132462,579984,279087,300897,2218,4.38,92.80,261
Gorkha,66506,271061,121041,150020,3610,4.08,80.70,75
Lamjung,42079,167724,75913,91811,1692,3.99,82.70,99
Tanahu,78309,323288,143410,179878,1546,4.13,79.70,209
Syangja,68881,289148,125833,163315,1164,4.20,77.00,248
Kaski,125673,492098,236385,255713,2017,3.92,92.40,244
Manang,1480,6538,3661,2877,2246,4.42,127.30,3
Mustang,3354,13452,7093,6359,3573,4.01,111.50,4
Myagdi,27762,113641,51395,62246,2297,4.09,82.60,49
Parbat,35719,146590,65301,81289,494,4.10,80.30,297
Baglung,61522,268613,117997,150616,1784,4.37,78.30,151
Gulmi,64921,280160,120995,159165,1149,4.32,76.00,244
Palpa,59291,261180,115840,145340,1373,4.41,79.70,190
Nawalparasi,128793,643508,303675,339833,2162,5.00,89.40,298
Rupandehi,163916,880196,432193,448003,1360,5.37,96.50,647
Kapilbastu,91321,571936,285599,286337,1738,6.26,99.70,329
Arghakhanchi,46835,197632,86266,111366,1193,4.22,77.50,166
Pyuthan,47730,228102,100053,128049,1309,4.78,78.10,174
Rolpa,43757,224506,103100,121406,1879,5.13,84.90,119
Rukum,41856,208567,99159,109408,2877,4.98,90.60,72
Salyan,46556,242444,115969,126475,1462,5.21,91.70,166
Dang,116415,552583,261059,291524,2955,4.75,89.50,187
Banke,94773,491313,244255,247058,2337,5.18,98.90,210
Bardiya,83176,426576,205080,221496,2025,5.13,92.60,211
Surkhet,72863,350804,169421,181383,2451,4.81,93.40,143
Dailekh,48919,261770,126990,134780,1502,5.35,94.20,174
Jajarkot,30472,171304,85537,85767,2230,5.62,99.70,77
Dolpa,7488,36700,18238,18462,7889,4.90,98.80,5
Jumla,19303,108921,54898,54023,2531,5.64,101.60,43
Kalikot,23013,136948,68833,68115,1741,5.95,101.10,79
Mugu,9619,55286,28025,27261,3535,5.75,102.80,16
Humla,9479,50858,25833,25025,5655,5.37,103.20,9
Bajura,24908,134912,65806,69106,2188,5.42,95.20,62
Bajhang,33786,195159,92794,102365,3422,5.78,90.70,57
Achham,48351,257477,120008,137469,1680,5.33,87.30,153
Doti,41440,211746,97252,114494,2025,5.11,84.90,105
Kailali,142480,775709,378417,397292,3235,5.44,95.20,240
Kanchanpur,82152,451248,216042,235206,1610,5.49,91.90,280
Dadeldhura,27045,142094,66556,75538,1538,5.25,88.10,92
Baitadi,45191,250898,117407,133491,1519,5.55,88.00,165
Darchula,24618,133274,63605,69669,2322,5.41,91.30,57
